"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"31360","WR","Odell","Beckham Jr.","15.4","6","9000","DAL@NYG","NYG","DAL","P","Hamstring","",""
"11435","WR","Dez","Bryant","7.3","1","8300","DAL@NYG","DAL","NYG","NA","Foot","",""
"6748","QB","Carson","Palmer","20.2","6","8200","BAL@ARI","ARI","BAL","","","",""
"14185","QB","Cam","Newton","21.9","5","8100","PHI@CAR","CAR","PHI","","","",""
"29253","WR","Keenan","Allen","17.1","6","8100","OAK@SD","SD","OAK","P","Hip","",""
"7968","QB","Philip","Rivers","20.6","6","8000","OAK@SD","SD","OAK","","","",""
"6826","QB","Eli","Manning","17.9","6","7800","DAL@NYG","NYG","DAL","","","",""
"6883","WR","Larry","Fitzgerald","19","6","7800","BAL@ARI","ARI","BAL","P","Personal","",""
"11414","QB","Sam","Bradford","15","6","7700","PHI@CAR","PHI","CAR","","","",""
"14254","RB","DeMarco","Murray","14.3","5","7600","PHI@CAR","PHI","CAR","","","",""
"6714","QB","Joe","Flacco","16.6","6","7500","BAL@ARI","BAL","ARI","","","",""
"31001","WR","Amari","Cooper","12.6","5","7300","OAK@SD","OAK","SD","","","",""
"6857","RB","Justin","Forsett","12.7","6","7100","BAL@ARI","BAL","ARI","","","",""
"34331","RB","Latavius","Murray","12.8","5","7000","OAK@SD","OAK","SD","P","Shoulder","",""
"6566","RB","Chris","Johnson","10.8","6","6900","BAL@ARI","ARI","BAL","","","",""
"6735","WR","Steve","Smith","17.4","5","6900","BAL@ARI","BAL","ARI","","","",""
"27553","RB","Joseph","Randle","13.3","5","6800","DAL@NYG","DAL","NYG","","","",""
"45859","QB","Derek","Carr","14.9","5","6700","OAK@SD","OAK","SD","","","",""
"54606","WR","John","Brown","12.9","6","6700","BAL@ARI","ARI","BAL","Q","Hamstring","",""
"6733","RB","Jonathan","Stewart","9.6","5","6700","PHI@CAR","CAR","PHI","","","",""
"30837","WR","Jordan","Matthews","10.1","6","6600","PHI@CAR","PHI","CAR","","","",""
"28900","RB","Melvin","Gordon","6.5","6","6500","OAK@SD","SD","OAK","P","Ankle","",""
"21959","QB","Brandon","Weeden","9.6","4","6400","DAL@NYG","DAL","NYG","","","",""
"6914","TE","Greg","Olsen","13.5","5","6400","PHI@CAR","CAR","PHI","","","",""
"7778","QB","Matt","Cassel","0","1","6400","DAL@NYG","DAL","NYG","","","",""
"8052","RB","Rashad","Jennings","9.1","6","6300","DAL@NYG","NYG","DAL","","","",""
"6687","QB","Mark","Sanchez","16.7","9","6100","PHI@CAR","PHI","CAR","","","",""
"7806","RB","Darren","McFadden","7","5","6000","DAL@NYG","DAL","NYG","","","",""
"9421","RB","Danny","Woodhead","12.4","6","6000","OAK@SD","SD","OAK","","","",""
"31836","WR","Terrance","Williams","8.3","5","5900","DAL@NYG","DAL","NYG","","","",""
"9392","WR","Michael","Crabtree","10.3","5","5900","OAK@SD","OAK","SD","","","",""
"7965","TE","Antonio","Gates","19.9","2","5800","OAK@SD","SD","OAK","NA","Knee","",""
"21999","WR","Rueben","Randle","8.4","6","5700","DAL@NYG","NYG","DAL","P","Hamstring","",""
"7645","WR","Steve","Johnson","10.4","4","5700","OAK@SD","SD","OAK","P","Hamstring","",""
"14305","RB","Roy","Helu","3.9","4","5700","OAK@SD","OAK","SD","","","",""
"11425","RB","Ryan","Mathews","8.4","6","5600","PHI@CAR","PHI","CAR","","","",""
"6641","TE","Jason","Witten","10.4","5","5600","DAL@NYG","DAL","NYG","","","",""
"32418","RB","Christine","Michael","0.3","2","5600","DAL@NYG","DAL","NYG","","","",""
"14245","RB","Shane","Vereen","8","6","5600","DAL@NYG","NYG","DAL","","","",""
"14905","WR","Kamar","Aiken","7.6","6","5600","BAL@ARI","BAL","ARI","","","",""
"26141","QB","Ryan","Nassib","0.5","4","5500","DAL@NYG","NYG","DAL","","","",""
"28677","QB","Matt","McGloin","10.7","1","5500","OAK@SD","OAK","SD","","","",""
"7972","RB","Darren","Sproles","7.5","6","5500","PHI@CAR","PHI","CAR","","","",""
"25694","RB","Andre","Williams","3.5","6","5400","DAL@NYG","NYG","DAL","","","",""
"7952","WR","Malcom","Floyd","7.5","6","5400","OAK@SD","SD","OAK","","","",""
"6627","WR","Ted","Ginn Jr.","9.4","5","5300","PHI@CAR","CAR","PHI","","","",""
"29340","WR","Josh","Huff","5","5","5300","PHI@CAR","PHI","CAR","P","Knee","",""
"6679","QB","Matt","Schaub","0.1","11","5300","BAL@ARI","BAL","ARI","","","",""
"62497","RB","David","Johnson","10.6","6","5300","BAL@ARI","ARI","BAL","","","",""
"11577","WR","Riley","Cooper","6.3","6","5300","PHI@CAR","PHI","CAR","Q","Knee","",""
"21123","TE","Larry","Donnell","7.1","6","5200","DAL@NYG","NYG","DAL","","","",""
"7919","QB","Kellen","Clemens","6.5","1","5200","OAK@SD","SD","OAK","","","",""
"6387","WR","Miles","Austin","3.8","6","5200","PHI@CAR","PHI","CAR","","","",""
"6373","QB","Derek","Anderson","8.4","6","5200","PHI@CAR","CAR","PHI","","","",""
"14198","QB","Christian","Ponder","6.7","2","5200","OAK@SD","OAK","SD","","","",""
"7744","QB","Drew","Stanton","-0.1","2","5200","BAL@ARI","ARI","BAL","","","",""
"24682","RB","Andre","Ellington","10.3","3","5200","BAL@ARI","ARI","BAL","","","",""
"22288","WR","Cole","Beasley","6.1","5","5200","DAL@NYG","DAL","NYG","","","",""
"29645","RB","Javorius","Allen","2.8","6","5100","BAL@ARI","BAL","ARI","","","",""
"54741","WR","Seth","Roberts","4.7","5","5100","OAK@SD","OAK","SD","","","",""
"41807","RB","Michael","Dyer","0","0","5100","OAK@SD","OAK","SD","","","",""
"14761","WR","Andre","Holmes","2.7","5","5100","OAK@SD","OAK","SD","","","",""
"12546","D","Arizona","Cardinals","11.2","6","5100","BAL@ARI","ARI","BAL","","","",""
"14645","WR","Dontrelle","Inman","3.9","5","5100","OAK@SD","SD","OAK","","","",""
"22047","TE","Ladarius","Green","11","5","5100","OAK@SD","SD","OAK","","","",""
"29683","WR","Nelson","Agholor","2.5","5","5000","PHI@CAR","PHI","CAR","O","Ankle","",""
"11436","QB","Tim","Tebow","0","0","5000","PHI@CAR","PHI","CAR","","","",""
"11761","QB","Thaddeus","Lewis","0","0","5000","PHI@CAR","PHI","CAR","","","",""
"14952","K","Dan","Bailey","7.4","5","5000","DAL@NYG","DAL","NYG","","","",""
"45723","TE","Crockett","Gillmore","9.2","4","5000","BAL@ARI","BAL","ARI","","","",""
"14358","WR","Dwayne","Harris","4.6","6","5000","DAL@NYG","NYG","DAL","","","",""
"29780","TE","Zach","Ertz","5","6","5000","PHI@CAR","PHI","CAR","","","",""
"38269","RB","Cameron","Artis-Payne","1","3","4900","PHI@CAR","CAR","PHI","","","",""
"30807","TE","Mychal","Rivera","2.2","5","4900","OAK@SD","OAK","SD","","","",""
"21952","WR","Michael","Floyd","4.7","6","4900","BAL@ARI","ARI","BAL","","","",""
"54612","RB","Lorenzo","Taliaferro","5.4","3","4900","BAL@ARI","BAL","ARI","IR","Foot","",""
"24569","K","Chandler","Catanzaro","8.8","6","4900","BAL@ARI","ARI","BAL","","","",""
"30261","K","Caleb","Sturgis","9","3","4900","PHI@CAR","PHI","CAR","","","",""
"23045","K","Justin","Tucker","10","6","4800","BAL@ARI","BAL","ARI","","","",""
"22187","QB","Chandler","Harnish","0","0","4800","BAL@ARI","ARI","BAL","","","",""
"12553","D","Carolina","Panthers","10.6","5","4800","PHI@CAR","CAR","PHI","","","",""
"29605","QB","Matt","Barkley","0","1","4800","BAL@ARI","ARI","BAL","","","",""
"10354","RB","Marcel","Reece","8.4","5","4800","OAK@SD","OAK","SD","","","",""
"11615","QB","Joe","Webb","0","5","4800","PHI@CAR","CAR","PHI","","","",""
"7975","RB","Mike","Tolbert","2.9","5","4800","PHI@CAR","CAR","PHI","","","",""
"10744","K","Graham","Gano","8.4","5","4700","PHI@CAR","CAR","PHI","","","",""
"37245","RB","Foswhitt","Whittaker","1.7","5","4700","PHI@CAR","CAR","PHI","","","",""
"7831","K","Sebastian","Janikowski","8","5","4700","OAK@SD","OAK","SD","","","",""
"28486","WR","Corey (Philly)","Brown","4.4","5","4700","PHI@CAR","CAR","PHI","","","",""
"25886","WR","Devin","Street","0.8","5","4700","DAL@NYG","DAL","NYG","","","",""
"39445","WR","Brice","Butler","2.4","3","4700","DAL@NYG","DAL","NYG","P","Hamstring","",""
"32429","K","Josh","Lambo","8.7","6","4700","OAK@SD","SD","OAK","","","",""
"47640","RB","Branden","Oliver","2.3","6","4700","OAK@SD","SD","OAK","","","",""
"6742","TE","Brent","Celek","3.4","6","4700","PHI@CAR","PHI","CAR","","","",""
"6522","K","Josh","Brown","9.7","6","4700","DAL@NYG","NYG","DAL","","","",""
"29827","TE","Joseph","Fauria","2.6","7","4600","BAL@ARI","ARI","BAL","","","",""
"28346","TE","Maxx","Williams","2.8","6","4600","BAL@ARI","BAL","ARI","O","Knee","",""
"47953","WR","Lucky","Whitehead","0","4","4600","DAL@NYG","DAL","NYG","","","",""
"28080","WR","Devin","Funchess","1.7","5","4600","PHI@CAR","CAR","PHI","","","",""
